panel_h,h_over_d,mode,Gy,entropy_effective_rank_L2,sigma10_over_sigma1_L2,n_singular,n_active_panels,panel_length_min,panel_length_max
0.07,13.1428571429,fixed_noisy_surface,0.051704475482792195,3.2744262049825177,0.006842960937206385,41,300,0.023333333333332984,0.023333333333333428
0.07,13.1428571429,all_enclosure_surfaces_noisy,0.2724653225743997,3.488007490387979,0.019328487198014048,41,544,0.023255813953488302,0.06956521739130483
0.07,8.5714285714,fixed_noisy_surface,0.0467605611495691,3.262308820385397,0.006712003660424897,41,300,0.023333333333332984,0.023333333333333428
0.07,8.5714285714,all_enclosure_surfaces_noisy,0.28582160896449854,3.473597097455301,0.01907055784434781,41,544,0.023255813953488302,0.06956521739130483
0.07,5.7142857143,fixed_noisy_surface,0.04092405260453906,3.235153557984584,0.006427035446119752,41,300,0.023333333333332984,0.023333333333333428
0.07,5.7142857143,all_enclosure_surfaces_noisy,0.33312633012193027,3.44143522387253,0.01847542238763133,41,544,0.023255813953488302,0.06956521739130483
0.07,4.2857142857,fixed_noisy_surface,0.04198064476451498,3.1990924705482535,0.00607842325826767,41,300,0.023333333333332984,0.023333333333333428
0.07,4.2857142857,all_enclosure_surfaces_noisy,0.4334330775800096,3.400653990759429,0.0177025809525477,41,772,0.023255813953488302,0.023333333333333428
0.07,3.2857142857,fixed_noisy_surface,0.056926352169125886,3.1461700384155598,0.0056246637396210174,41,300,0.023333333333332984,0.023333333333333428
0.07,3.2857142857,all_enclosure_surfaces_noisy,0.6683221262775167,3.3556304378519615,0.017216082095099092,41,772,0.023255813953488302,0.023333333333333428
0.07,2.5714285714,fixed_noisy_surface,0.09617383350078228,3.0758351084652427,0.005099343256065776,41,300,0.023333333333332984,0.023333333333333428
0.07,2.5714285714,all_enclosure_surfaces_noisy,1.2251795382625528,3.411185217569339,0.023924203007481496,41,772,0.023255813953488302,0.023333333333333428
0.07,2.0,fixed_noisy_surface,0.17571670353749236,2.9843178676857343,0.0044547903102386275,41,300,0.023333333333332984,0.023333333333333428
0.07,2.0,all_enclosure_surfaces_noisy,3.0178534876866943,4.682094596312087,0.06822257879845389,41,772,0.023255813953488302,0.023333333333333428
0.05,13.1428571429,fixed_noisy_surface,0.053157011406749916,3.267979582502318,0.007370955122081822,41,420,0.016666666666666607,0.01666666666666705
0.05,13.1428571429,all_enclosure_surfaces_noisy,0.27417076258452155,3.389093573489255,0.0186603909392092,41,760,0.016666666666666607,0.05000000000000071
0.05,8.5714285714,fixed_noisy_surface,0.04831508236137643,3.255825331692502,0.007239939132922688,41,420,0.016666666666666607,0.01666666666666705
0.05,8.5714285714,all_enclosure_surfaces_noisy,0.287690838410175,3.375433747314639,0.018410383007525028,41,760,0.016666666666666607,0.05000000000000071
0.05,5.7142857143,fixed_noisy_surface,0.042724581621108614,3.2285901278359903,0.006950976791235115,41,420,0.016666666666666607,0.01666666666666705
0.05,5.7142857143,all_enclosure_surfaces_noisy,0.33539447015948654,3.3450024242755947,0.017834309691726082,41,760,0.016666666666666607,0.05000000000000071
0.05,4.2857142857,fixed_noisy_surface,0.044148688954650565,3.192410318367685,0.006589496063944798,41,420,0.016666666666666607,0.01666666666666705
0.05,4.2857142857,all_enclosure_surfaces_noisy,0.43632555889732383,3.30644585894616,0.017086288498167533,41,1080,0.016666666666666607,0.016666666666667496
0.05,3.2857142857,fixed_noisy_surface,0.05973192230168331,3.139341454634216,0.006107021219140319,41,420,0.016666666666666607,0.01666666666666705
0.05,3.2857142857,all_enclosure_surfaces_noisy,0.6723062323443553,3.2638989389938655,0.016587990947881007,41,1080,0.016666666666666607,0.016666666666667496
0.05,2.5714285714,fixed_noisy_surface,0.1000524697844551,3.0689307861372113,0.0055348808642988415,41,420,0.016666666666666607,0.01666666666666705
0.05,2.5714285714,all_enclosure_surfaces_noisy,1.2309930396203212,3.3162821334747608,0.022531114230839918,41,1080,0.016666666666666607,0.016666666666667496
0.05,2.0,fixed_noisy_surface,0.18156131466064668,2.9776499345887575,0.004825570652008537,41,420,0.016666666666666607,0.01666666666666705
0.05,2.0,all_enclosure_surfaces_noisy,3.026481231428386,4.540902855962917,0.06550771871372842,41,1080,0.016666666666666607,0.016666666666667496
0.035,13.1428571429,fixed_noisy_surface,0.05442734153115995,3.2487953392000444,0.007716836903224533,41,600,0.01166666666666627,0.011666666666666714
0.035,13.1428571429,all_enclosure_surfaces_noisy,0.27583108098657155,3.2833051742599193,0.017805031153524647,41,1087,0.011627906976744096,0.03493449781659397
0.035,8.5714285714,fixed_noisy_surface,0.04967528187057864,3.2367233091997325,0.007586143964885029,41,600,0.01166666666666627,0.011666666666666714
0.035,8.5714285714,all_enclosure_surfaces_noisy,0.28950605743124314,3.270533466958417,0.017565779253279724,41,1087,0.011627906976744096,0.03493449781659397
0.035,5.7142857143,fixed_noisy_surface,0.04430168083323076,3.2096808679817737,0.0072954073780621045,41,600,0.01166666666666627,0.011666666666666714
0.035,5.7142857143,all_enclosure_surfaces_noisy,0.33758724570121545,3.2421263363959416,0.017015210383497265,41,1087,0.011627906976744096,0.03493449781659397
0.035,4.2857142857,fixed_noisy_surface,0.0460499837773815,3.1737524018652343,0.006926334806047623,41,600,0.01166666666666627,0.011666666666666714
0.035,4.2857142857,all_enclosure_surfaces_noisy,0.4391038541790626,3.206166504823082,0.016300830364426193,41,1544,0.011627906976744096,0.011666666666666714
0.035,3.2857142857,fixed_noisy_surface,0.062195788855767146,3.121084446297887,0.006425395847485266,41,600,0.01166666666666627,0.011666666666666714
0.035,3.2857142857,all_enclosure_surfaces_noisy,0.6761096563529088,3.166567119959977,0.015809439717243468,41,1544,0.011627906976744096,0.011666666666666714
0.035,2.5714285714,fixed_noisy_surface,0.10346346150213794,3.0513256670516355,0.005821686424218628,41,600,0.01166666666666627,0.011666666666666714
0.035,2.5714285714,all_enclosure_surfaces_noisy,1.2365197869247733,3.2159529457158347,0.02112656960288257,41,1544,0.011627906976744096,0.011666666666666714
0.035,2.0,fixed_noisy_surface,0.1867059957947488,2.9612233541516244,0.005068373147115661,41,600,0.01166666666666627,0.011666666666666714
0.035,2.0,all_enclosure_surfaces_noisy,3.0348209918410993,4.388190138259364,0.06261542882498225,41,1544,0.011627906976744096,0.011666666666666714
