q,I1,I2
3.0,9.948093709893907e-05,4.567896314630169e-07
3.5,1.866616373721371e-05,2.9344600198808748e-08
4.0,3.543636891150164e-06,1.9304700215374214e-09
4.5,6.787164408907021e-07,1.2931222936706034e-10
5.0,1.3089910810950292e-07,8.785396125183972e-12
5.5,2.5386487378842615e-08,6.037019420833955e-13
6.0,4.9459816059400485e-09,4.187333471315575e-14
6.5,9.672955220068637e-10,2.927098282944734e-15
7.0,1.8978849070831612e-10,2.0597030860986388e-16
7.5,3.73409439729278e-11,1.457577216420166e-17
8.0,7.364539444740887e-12,1.0365515611281482e-18
