geometry,i,j,x_i_over_d,x_j_over_d,Cij
flat,0,0,-1.2,-1.2,0.10152616748363383
flat,0,1,-1.2,-0.6,0.06979873704596784
flat,0,2,-1.2,0.0,0.02488669328561854
flat,0,3,-1.2,0.5999999999999999,0.005153341967969125
flat,0,4,-1.2,1.2,0.0003496305338773403
flat,1,0,-0.6,-1.2,0.06979873704596784
flat,1,1,-0.6,-0.6,0.10152587160140786
flat,1,2,-0.6,0.0,0.06979863234205008
flat,1,3,-0.6,0.5999999999999999,0.024886660050757882
flat,1,4,-0.6,1.2,0.005153341967969783
flat,2,0,0.0,-1.2,0.02488669328561854
flat,2,1,0.0,-0.6,0.06979863234205008
flat,2,2,0.0,0.0,0.1015258383666317
flat,2,3,0.0,0.5999999999999999,0.06979863234205111
flat,2,4,0.0,1.2,0.024886693285618947
flat,3,0,0.5999999999999999,-1.2,0.005153341967969125
flat,3,1,0.5999999999999999,-0.6,0.024886660050757882
flat,3,2,0.5999999999999999,0.0,0.06979863234205111
flat,3,3,0.5999999999999999,0.5999999999999999,0.10152587160141104
flat,3,4,0.5999999999999999,1.2,0.06979873704596912
flat,4,0,1.2,-1.2,0.0003496305338773403
flat,4,1,1.2,-0.6,0.005153341967969783
flat,4,2,1.2,0.0,0.024886693285618947
flat,4,3,1.2,0.5999999999999999,0.06979873704596912
flat,4,4,1.2,1.2,0.101526167483637
depressed,0,0,-1.2,-1.2,0.10169732688947522
depressed,0,1,-1.2,-0.6,0.07028519713425213
depressed,0,2,-1.2,0.0,0.026259389788535932
depressed,0,3,-1.2,0.5999999999999999,0.008313577452720348
depressed,0,4,-1.2,1.2,0.003467971554489335
depressed,1,0,-0.6,-1.2,0.07028519713425213
depressed,1,1,-0.6,-0.6,0.10273973650830873
depressed,1,2,-0.6,0.0,0.07289554357937414
depressed,1,3,-0.6,0.5999999999999999,0.03201389635122352
depressed,1,4,-0.6,1.2,0.012813611279723868
depressed,2,0,0.0,-1.2,0.026259389788535932
depressed,2,1,0.0,-0.6,0.07289554357937414
depressed,2,2,0.0,0.0,0.10840487087600242
depressed,2,3,0.0,0.5999999999999999,0.08466772334269759
depressed,2,4,0.0,1.2,0.04237629096186575
depressed,3,0,0.5999999999999999,-1.2,0.008313577452720348
depressed,3,1,0.5999999999999999,-0.6,0.03201389635122352
depressed,3,2,0.5999999999999999,0.0,0.08466772334269759
depressed,3,3,0.5999999999999999,0.5999999999999999,0.13099885481516457
depressed,3,4,0.5999999999999999,1.2,0.10710636369059484
depressed,4,0,1.2,-1.2,0.003467971554489335
depressed,4,1,1.2,-0.6,0.012813611279723868
depressed,4,2,1.2,0.0,0.04237629096186575
depressed,4,3,1.2,0.5999999999999999,0.10710636369059484
depressed,4,4,1.2,1.2,0.15523800709358476
