R_over_d,component,geometry,common,differential
0.2,normal,open,0.11645884605876,0.002907361277577661
0.2,normal,h2,0.14046752761752726,0.0030169085298535304
0.2,x,open,0.057508918684432246,0.0021741849837365835
0.2,x,h2,0.05169459842119064,0.0021122666478699532
0.2571428571428572,normal,open,0.11464039173398734,0.004725815602350325
0.2571428571428572,normal,h2,0.13857822935624997,0.004906206791130833
0.2571428571428572,x,open,0.05615572471165571,0.0035273789565131194
0.2571428571428572,x,h2,0.050381326404233304,0.0034255386648272923
0.3142857142857143,normal,open,0.11245221544547518,0.0069139918908624805
0.3142857142857143,normal,h2,0.13630226361089876,0.007182172536482053
0.3142857142857143,x,open,0.0545346108158815,0.005148492852287328
0.3142857142857143,x,h2,0.048809550840215654,0.004997314228844941
0.37142857142857144,normal,open,0.10994507541719116,0.009421131919146503
0.37142857142857144,normal,h2,0.13369088583920302,0.009793550308177756
0.37142857142857144,x,open,0.0526874109400297,0.006995692728139133
0.37142857142857144,x,h2,0.04702074042939892,0.0067861246396616745
0.4285714285714286,normal,open,0.10717460871174993,0.012191598624587734
0.4285714285714286,normal,h2,0.13080031703271291,0.012684119114667868
0.4285714285714286,x,open,0.050659745826328005,0.009023357841840825
0.4285714285714286,x,h2,0.04506008817118384,0.008746776897876759
0.4857142857142857,normal,open,0.10419909922756912,0.015167108108768533
0.4857142857142857,normal,h2,0.1276895051597551,0.01579493098762568
0.4857142857142857,x,open,0.048499101076297145,0.01118400259187168
0.4857142857142857,x,h2,0.042974594825824795,0.010832270243235803
0.5428571428571429,normal,open,0.10107731318939775,0.01828889414693991
0.5428571428571429,normal,h2,0.12441795332776436,0.01906648281961645
0.5428571428571429,x,open,0.04625297641974763,0.013430127248421206
0.5428571428571429,x,h2,0.04081122420663455,0.012995640862426048
0.6,normal,open,0.09786651835743454,0.021499688978903128
0.6,normal,h2,0.12104373102074735,0.022440705126633438
0.6,x,open,0.04396720813644823,0.015715895531720606
0.6,x,h2,0.03861523213249703,0.01519163293656357
0.6571428571428571,normal,open,0.09462077708622445,0.024745430250113228
0.6571428571428571,normal,h2,0.11762175868151611,0.025862677465864674
0.6571428571428571,x,open,0.04168454255700946,0.017998561111159373
0.6571428571428571,x,h2,0.03642874684682369,0.017378118222236904
0.7142857142857142,normal,open,0.09138957318982487,0.02797663414651279
0.7142857142857142,normal,h2,0.11420242573808768,0.029282010409293117
0.7142857142857142,x,open,0.03944351106002524,0.020239592608143588
0.7142857142857142,x,h2,0.034289651196127764,0.019517213872932836
0.7714285714285714,normal,open,0.08821680186686244,0.031149405469475224
0.7714285714285714,normal,h2,0.11083057147180304,0.03265386467557775
0.7714285714285714,x,open,0.03727762923354308,0.02240547443462575
0.7714285714285714,x,h2,0.03223078911202895,0.02157607595703165
0.8285714285714285,normal,open,0.0851401237297431,0.034226083606594564
0.8285714285714285,normal,h2,0.10754482991308997,0.03593960623429083
0.8285714285714285,x,open,0.03521491762120645,0.024468186046962378
0.8285714285714285,x,h2,0.030279493695328483,0.023527371373732116
0.8857142857142857,normal,open,0.08219066046743378,0.037175546868903876
0.8857142857142857,normal,h2,0.10437731643061139,0.039107119716769397
0.8857142857142857,x,open,0.033277720693553156,0.026405382974615678
0.8857142857142857,x,h2,0.028457413426211442,0.025349451642849154
0.9428571428571428,normal,open,0.07939299211856152,0.039973215217776144
0.9428571428571428,normal,h2,0.10135361611877967,0.04213082002860112
0.9428571428571428,x,open,0.03148278546958445,0.028200318198584384
