N,spacing_over_d,xi_over_d,h_over_d,min_eig_normal_difference,min_eig_tangent_difference
3,0.25,0.0,1.3,0.00014589776243035095,7.506373013985732e-05
3,0.25,0.0,1.5,4.56431782114258e-05,2.49893491212868e-05
3,0.25,0.0,2.0,4.630070017419486e-06,2.5296750938780003e-06
3,0.25,0.0,3.0,1.9085336259862178e-07,9.316378531374738e-08
3,0.25,0.0,6.0,8.660025198271067e-10,2.856844514343398e-10
3,0.25,0.5,1.3,5.453074509618383e-05,2.4555622783960735e-05
3,0.25,0.5,1.5,2.0772880039853314e-05,1.0318187666072415e-05
3,0.25,0.5,2.0,2.8509280419188517e-06,1.4681768488090919e-06
3,0.25,0.5,3.0,1.5165640133689308e-07,7.145580604257667e-08
3,0.25,0.5,6.0,8.159631694419823e-10,2.6547431068287015e-10
3,0.25,1.0,1.3,1.060717704920588e-05,3.8025131303549208e-06
3,0.25,1.0,1.5,5.049340233898044e-06,2.076131267749615e-06
3,0.25,1.0,2.0,1.0407578595294424e-06,4.699058089114046e-07
3,0.25,1.0,3.0,8.654679153236748e-08,3.735797279947719e-08
3,0.25,1.0,6.0,6.898904058528324e-10,2.1597447832510087e-10
3,0.6,0.0,1.3,0.003669852480083327,0.0019914940363315236
3,0.6,0.0,1.5,0.0012254514029879948,0.0007096439859955169
3,0.6,0.0,2.0,0.00013623572721008665,7.769634442720896e-05
3,0.6,0.0,3.0,6.0101439138284e-06,2.9995803861745555e-06
3,0.6,0.0,6.0,2.837896273496239e-08,9.415139774646069e-09
3,0.6,0.5,1.3,0.001541965725828995,0.0007389121260551433
3,0.6,0.5,1.5,0.000602708367841346,0.00031704748209414427
3,0.6,0.5,2.0,8.653486924051005e-05,4.6455987061198525e-05
3,0.6,0.5,3.0,4.8112600910687835e-06,2.3166515529643858e-06
3,0.6,0.5,6.0,2.6752685299677838e-08,8.75348425821705e-09
3,0.6,1.0,1.3,0.000327667900386042,0.00012359302636637376
3,0.6,1.0,1.5,0.000156992574595071,6.76020206579256e-05
3,0.6,1.0,2.0,3.281340859518171e-05,1.5340253786362448e-05
3,0.6,1.0,3.0,2.781587968219215e-06,1.2246328328987182e-06
3,0.6,1.0,6.0,2.2648026958644818e-08,7.130021577108662e-09
3,1.0,0.0,1.3,0.0164994804309711,0.00864086419485841
3,1.0,0.0,1.5,0.006172832531175756,0.0036144877414659286
3,1.0,0.0,2.0,0.0008165782322220399,0.0004857084875236046
3,1.0,0.0,3.0,4.1451148705286454e-05,2.1402031286674392e-05
3,1.0,0.0,6.0,2.1320593020951465e-07,7.152098148683092e-08
3,1.0,0.5,1.3,0.008340031861111995,0.004083479155115482
3,1.0,0.5,1.5,0.0034588609109285746,0.0018938048014376285
3,1.0,0.5,2.0,0.0005494428178079991,0.00030985599745801256
3,1.0,0.5,3.0,3.36782765979224e-05,1.678891717488666e-05
3,1.0,0.5,6.0,2.012028467956868e-07,6.656866728786464e-08
3,1.0,1.0,1.3,0.002132549986015273,0.0008529541818094307
3,1.0,1.0,1.5,0.001040605621005582,0.0004752347649315025
3,1.0,1.0,2.0,0.00022548870103907112,0.00011105095653283195
3,1.0,1.0,3.0,2.0006969965896087e-05,9.114427993554578e-06
3,1.0,1.0,6.0,1.7079407003994923e-07,5.437009812226467e-08
5,0.25,0.0,1.3,2.2208022232985436e-06,1.463096005914937e-06
5,0.25,0.0,1.5,4.125357181819187e-07,2.819178875554821e-07
5,0.25,0.0,2.0,1.4005525430805259e-08,9.488130083353808e-09
5,0.25,0.0,3.0,1.1641003017037861e-10,7.329673495073779e-11
5,0.25,0.0,6.0,3.243459867395617e-14,1.551857237234947e-14
5,0.25,0.5,1.3,2.8898896162849007e-07,1.6657089203752046e-07
5,0.25,0.5,1.5,7.804661663476892e-08,4.8636986618866706e-08
5,0.25,0.5,2.0,4.842312352256661e-09,3.1033602105779236e-09
5,0.25,0.5,3.0,6.891683192158268e-11,4.1936947458149874e-11
5,0.25,0.5,6.0,2.821471286305625e-14,1.328013791016809e-14
5,0.25,1.0,1.3,1.3284201345999153e-08,6.181423025333908e-09
5,0.25,1.0,1.5,5.137071682317429e-09,2.7107665861668306e-09
5,0.25,1.0,2.0,6.401409291729477e-10,3.6633392857160347e-10
5,0.25,1.0,3.0,2.0825653059372655e-11,1.169503154269419e-11
5,0.25,1.0,6.0,1.9249734919925065e-14,8.670420934114605e-15
5,0.6,0.0,1.3,0.0009026127035732644,0.0006284924320514686
5,0.6,0.0,1.5,0.00021002398942855668,0.00015389679362791715
5,0.6,0.0,2.0,9.885028947726306e-06,7.102891749199071e-06
5,0.6,0.0,3.0,1.050844098579662e-07,6.851159833788594e-08
5,0.6,0.0,6.0,3.4021324188599194e-11,1.6431626091395677e-11
5,0.6,0.5,1.3,0.0001938197678566634,0.00012149331720541306
5,0.6,0.5,1.5,5.6272166538381555e-05,3.802915097304315e-05
5,0.6,0.5,2.0,3.98121069184136e-06,2.7109661101304868e-06
5,0.6,0.5,3.0,6.481059432395796e-08,4.082242794930772e-08
