geometry,ion,lambda1,V_i1
open,0,0.1411894766081839,0.06015928536599629
open,1,0.1411894766081839,0.16529512944780134
open,2,0.1411894766081839,0.2913155784245046
open,3,0.1411894766081839,0.4039057564369612
open,4,0.1411894766081839,0.47016353989795545
open,5,0.1411894766081839,0.47016353989795334
open,6,0.1411894766081839,0.4039057564369563
open,7,0.1411894766081839,0.2913155784244975
open,8,0.1411894766081839,0.16529512944779562
open,9,0.1411894766081839,0.0601592853659924
h2,0,0.20538416888216746,0.1507691341726067
h2,1,0.20538416888216746,0.24437089602583117
h2,2,0.20538416888216746,0.32392836400072167
h2,3,0.20538416888216746,0.3804414196961071
h2,4,0.20538416888216746,0.40973927628651957
h2,5,0.20538416888216746,0.4097392762865199
h2,6,0.20538416888216746,0.38044141969610795
h2,7,0.20538416888216746,0.3239283640007223
h2,8,0.20538416888216746,0.24437089602583162
h2,9,0.20538416888216746,0.15076913417260698
