xi_over_d,h_over_d,rank_y,entropy_rank_y,rank_x,entropy_rank_x
0.0,inf,5.61046484824741,6.513340219617892,6.1522034256510585,7.148976495487269
0.0,3.0,5.483479791050966,6.412032725271268,6.129588076854459,7.137926757170553
0.0,2.0,5.105664969435592,6.094415619319599,6.18670201072851,7.202474635547332
0.0,1.5,4.680472936042976,5.673915392135426,6.460439696732701,7.465014012841668
0.5,inf,4.603211052314002,5.322481320972434,4.976165454149425,5.797796957172787
0.5,3.0,4.46210753774961,5.207910397459858,4.958270018304538,5.7921567676581125
0.5,2.0,4.121595224938902,4.910130484996509,5.019721371483096,5.866590483265281
0.5,1.5,3.8380913600321396,4.6180713112203575,5.226414726155521,6.0897834115980345
1.0,inf,3.480106031649625,4.011581625345262,3.7605090787104736,4.352381493311894
1.0,3.0,3.3029204286391125,3.865192435534423,3.7556251359540265,4.359607813539228
1.0,2.0,3.02738389031929,3.6106656935757893,3.8215173369709854,4.440132849013087
1.0,1.5,2.8852619212008372,3.457810853103758,3.9546606249991223,4.592842085221543
