geometry,mechanical_mode,omega2_over_omega_t2,noise_weight_over_trace,best_environment_channel,squared_overlap
open,1,1.0,0.22311895301894058,1,0.773773571768206
open,2,0.9887807787995357,0.2166400359041464,2,0.8511667386268168
open,3,0.9654766109265515,0.1924250135592971,3,0.6893424379673443
open,4,0.9368131452313506,0.14739101260021228,4,0.7982222178635697
open,5,0.9065315104566622,0.09848876306215318,5,0.851066945311033
open,6,0.8770692817423577,0.05921477335677493,6,0.8964658194380896
open,7,0.850179138269552,0.032789087997956747,7,0.9299218589033797
open,8,0.8271631301159552,0.017022643096318943,8,0.9567930595723834
open,9,0.8090013456206924,0.008492102056537684,9,0.9788116951895324
open,10,0.7964298462798031,0.004417615347662204,10,0.9901388617192908
h2,1,1.0,0.27502292244271986,1,0.9111331264858246
h2,2,0.9887807787995357,0.22674851170673588,2,0.9011244987075917
h2,3,0.9654766109265515,0.18168723610543777,3,0.84437538792625
h2,4,0.9368131452313506,0.1301850206242448,4,0.8555947113342074
h2,5,0.9065315104566622,0.08415252084989498,5,0.8836756878543359
h2,6,0.8770692817423577,0.04984187957528998,6,0.9131986590721436
h2,7,0.850179138269552,0.027419868310005004,7,0.9393501766974277
h2,8,0.8271631301159552,0.014194270279449195,8,0.9614466827944248
h2,9,0.8090013456206924,0.007071640746048237,9,0.9808993178586067
h2,10,0.7964298462798031,0.0036761293601744083,10,0.9908556391859491
