target,fd,name,pred,slope,mincorr,maxcorr
0.14,0.01,flat,2.0,1.978888159935704,3.206927192689335e-06,0.0031026212423796995
0.14,0.01,offaxis,2.5184352017938076,2.5661335969399235,3.843092266642145e-08,0.0003321333136929727
0.11,0.01,flat,2.0,1.9789083572222677,3.2095906135065633e-06,0.0031053002358925053
0.11,0.01,offaxis,2.5184352017938076,2.565767601307555,3.8521497547350236e-08,0.00033252292243513004
0.085,0.01,flat,2.0,1.9788452292107321,3.2127362890044253e-06,0.003107700533899971
0.085,0.01,offaxis,2.5184352017938076,2.564710823815113,3.8732489437975914e-08,0.0003331954117509195
0.11,0.015,flat,2.0,1.978920554241388,3.209141994364728e-06,0.0031049858087410787
0.11,0.015,offaxis,2.5184352017938076,2.565934171426406,3.849446672532508e-08,0.0003324511484772419
0.11,0.007,flat,2.0,1.9789033734423604,3.209773717927078e-06,0.0031054285235416756
0.11,0.007,offaxis,2.5184352017938076,2.565699793662655,3.8532522061984764e-08,0.00033255221015093817
